HSK级别,题型,题型编码,资源ID,知识点,题目属性,声音编号,原文,拼音,译文,图片,译文多国语ID,目录ID,难度,,,,,,
HSK1,听力理解,T00_LISTEN_SELECT_IMAGE,B0400001,水,标题,,听音频，选择正确图片,,,,,H000001,,,,,,,
HSK1,听力理解,T00_LISTEN_SELECT_IMAGE,B0400001,水,题干,H100001.mp3,,,,,,H000001,,,,,,,
HSK1,听力理解,T00_LISTEN_SELECT_IMAGE,B0400001,水,正确选项,,,,,TU-100001.png,,H000001,,,,,,,
HSK1,听力理解,T00_LISTEN_SELECT_IMAGE,B0400001,水,干扰项,,,,,TU-100004.png,,H000001,,,,,,,
HSK1,听力理解,T00_LISTEN_SELECT_IMAGE,B0400001,水,干扰项,,,,,TU-100002.png,,H000001,,,,,,,
HSK1,听力理解,T00_LISTEN_SELECT_IMAGE,B0400001,水,干扰项,,,,,TU-100003.png,,H000001,,,,,,,
HSK1,听力理解,T00_LISTEN_SELECT_IMAGE,B0400001,水,解析,,"音频播放的是""水""(shuǐ)",,"The audio says ""水"" (shuǐ/water)",,A000001,H000001,,,,,,,
HSK1,识图理解,T01_PICTURE_FILL_IN,B0100001,叫,标题,,看图片，选择正确汉字,,,,,H000001,,,,,,,
HSK1,识图理解,T01_PICTURE_FILL_IN,B0100001,叫,题干,,,,,TU-100005.png,,H000001,,,,,,,
HSK1,识图理解,T01_PICTURE_FILL_IN,B0100001,叫,正确选项,,叫,jiào,,,,H000001,,,,,,,
HSK1,识图理解,T01_PICTURE_FILL_IN,B0100001,叫,干扰项,,是,shì,,,,H000001,,,,,,,
HSK1,识图理解,T01_PICTURE_FILL_IN,B0100001,叫,干扰项,,做,zuò,,,,H000001,,,,,,,
HSK1,识图理解,T01_PICTURE_FILL_IN,B0100001,叫,干扰项,,在,zài,,,,H000001,,,,,,,
HSK1,识图理解,T01_PICTURE_FILL_IN,B0100001,叫,解析,,"叫(jiào)表示""名叫、称为""，图片展示说话/自我介绍的场景。",,"叫 (jiào) means ""to be called/named"". The picture shows someone speaking/introducing themselves.""",,A000002,H000001,,,,,,,
HSK1,识图理解,T02_PICTURE_SELECT_TEXT,B0200001,名字,标题,,"
选择正确的意思",,,,,H000001,,,,,,,
HSK1,识图理解,T02_PICTURE_SELECT_TEXT,B0200001,名字,题干,,名字,míngzi,,TU-100006.png,,H000001,,,,,,,
HSK1,识图理解,T02_PICTURE_SELECT_TEXT,B0200001,名字,正确选项,,,,Name,,A000003,H000001,,,,,,,
HSK1,识图理解,T02_PICTURE_SELECT_TEXT,B0200001,名字,干扰项,,,,Time,,A000004,H000001,,,,,,,
HSK1,识图理解,T02_PICTURE_SELECT_TEXT,B0200001,名字,干扰项,,,,Room number,,A000005,H000001,,,,,,,
HSK1,识图理解,T02_PICTURE_SELECT_TEXT,B0200001,名字,干扰项,,,,Student,,A000006,H000001,,,,,,,
HSK1,识图理解,T02_PICTURE_SELECT_TEXT,B0200001,名字,解析,,名字(míngzi)的英文翻译是Name,,"名字 (míngzi) translates to ""Name"" in English.",,A000007,H000001,,,,,,,
HSK1,听力理解,T03_LISTEN_SELECT_SENTENCE,B0300001,你叫什么名字,标题,,听音频，选择你听到的句子,,,,,H000001,,,,,,,
HSK1,听力理解,T03_LISTEN_SELECT_SENTENCE,B0300001,你叫什么名字,题干,H100002.mp3,,,,,,H000001,,,,,,,
HSK1,听力理解,T03_LISTEN_SELECT_SENTENCE,B0300001,你叫什么名字,正确选项,,你叫什么名字？,Nǐ jiào shénme míngzi?,,,,H000001,,,,,,,
HSK1,听力理解,T03_LISTEN_SELECT_SENTENCE,B0300001,你叫什么名字,干扰项,,你是学生。,Nǐ shì xuéshēng.,,,,H000001,,,,,,,
HSK1,听力理解,T03_LISTEN_SELECT_SENTENCE,B0300001,你叫什么名字,干扰项,,你在哪里？,Nǐ zài nǎlǐ?,,,,H000001,,,,,,,
HSK1,听力理解,T03_LISTEN_SELECT_SENTENCE,B0300001,你叫什么名字,干扰项,,你做什么？,Nǐ zuò shénme?,,,,H000001,,,,,,,
HSK1,听力理解,T03_LISTEN_SELECT_SENTENCE,B0300001,你叫什么名字,解析,,"音频播放""你叫什么名字？""",,"The audio says ""你叫什么名字？"" .",,A000008,H000001,,,,,,,
HSK1,翻译理解,T05_GRAMMAR_SELECT,B0600001,现在几点了,标题,,"
选择正确的中文翻译",,,,,H000001,,,,,,,
HSK1,翻译理解,T05_GRAMMAR_SELECT,B0600001,现在几点了,题干,,,,What time is it now?,,A000009,H000001,,,,,,,
HSK1,翻译理解,T05_GRAMMAR_SELECT,B0600001,现在几点了,正确选项,,现在几点了？,Xiànzài jǐ diǎn le?,,,,H000001,,,,,,,
HSK1,翻译理解,T05_GRAMMAR_SELECT,B0600001,现在几点了,干扰项,,你叫什么？,Nǐ jiào shénme?,,,,H000001,,,,,,,
HSK1,翻译理解,T05_GRAMMAR_SELECT,B0600001,现在几点了,干扰项,,你在哪里？,Nǐ zài nǎlǐ?,,,,H000001,,,,,,,
HSK1,翻译理解,T05_GRAMMAR_SELECT,B0600001,现在几点了,干扰项,,你是谁？,Nǐ shì shéi?,,,,H000001,,,,,,,
HSK1,翻译理解,T05_GRAMMAR_SELECT,B0600001,现在几点了,解析,,"This is rice翻译成中文是""这是米饭""，但本题问的是时间表达，""现在几点了？""对应""What time is it now?""。",,"This is 'rice' translates to ""这是米饭"". But this question is asking about the expression of time, What time is it now? translates to ""现在几点了？""",,A000010,H000001,,,,,,,
HSK2,听力理解,T00_LISTEN_SELECT_IMAGE,B0400002,跳舞,标题,,听音频，选择正确图片,,,,,H000001,,,,,,,
HSK2,听力理解,T00_LISTEN_SELECT_IMAGE,B0400002,跳舞,题干,H100003.mp3,,,,,,H000001,,,,,,,
HSK2,听力理解,T00_LISTEN_SELECT_IMAGE,B0400002,跳舞,正确选项,,,,,TU-100032.png,,H000001,,,,,,,
HSK2,听力理解,T00_LISTEN_SELECT_IMAGE,B0400002,跳舞,干扰项,,,,,TU-100033.png,,H000001,,,,,,,
HSK2,听力理解,T00_LISTEN_SELECT_IMAGE,B0400002,跳舞,干扰项,,,,,TU-100035.png,,H000001,,,,,,,
HSK2,听力理解,T00_LISTEN_SELECT_IMAGE,B0400002,跳舞,干扰项,,,,,TU-100034.png,,H000001,,,,,,,
HSK2,听力理解,T00_LISTEN_SELECT_IMAGE,B0400002,跳舞,解析,,"音频播放""跳舞""(tiàowǔ)",,"The audio says ""跳舞"" (tiàowǔ/dance)",,A000011,H000001,,,,,,,
HSK2,识图理解,T01_PICTURE_FILL_IN,B0100002,喜欢,标题,,看图片，选择正确汉字,,,,,H000001,,,,,,,
HSK2,识图理解,T01_PICTURE_FILL_IN,B0100002,喜欢,题干,,,,,TU-100036.png,,H000001,,,,,,,
HSK2,识图理解,T01_PICTURE_FILL_IN,B0100002,喜欢,正确选项,,爱,ài,,,,H000001,,,,,,,
HSK2,识图理解,T01_PICTURE_FILL_IN,B0100002,喜欢,干扰项,,想,xiǎng,,,,H000001,,,,,,,
HSK2,识图理解,T01_PICTURE_FILL_IN,B0100002,喜欢,干扰项,,喜欢,xǐhuan,,,,H000001,,,,,,,
HSK2,识图理解,T01_PICTURE_FILL_IN,B0100002,喜欢,干扰项,,要,yào,,,,H000001,,,,,,,
HSK2,识图理解,T01_PICTURE_FILL_IN,B0100002,喜欢,解析,,"喜欢(xǐhuan)表示""like""。",,"喜欢 (xǐhuan) means ""like""",,A000012,H000001,,,,,,,
HSK2,翻译理解,T04_WORD_MEANING_SELECT,B0500001,咖啡,标题,,根据英文，选择正确的图片和汉字,,,,,H000001,,,,,,,
HSK2,翻译理解,T04_WORD_MEANING_SELECT,B0500001,咖啡,题干,,,,Coffee,,A000013,H000001,,,,,,,
HSK2,翻译理解,T04_WORD_MEANING_SELECT,B0500001,咖啡,正确选项,,咖啡,kāfēi,,TU-100004.png,,H000001,,,,,,,
HSK2,翻译理解,T04_WORD_MEANING_SELECT,B0500001,咖啡,干扰项,,茶,chá,,TU-100003.png,,H000001,,,,,,,
HSK2,翻译理解,T04_WORD_MEANING_SELECT,B0500001,咖啡,干扰项,,牛奶,niúnǎi,,TU-100002.png,,H000001,,,,,,,
HSK2,翻译理解,T04_WORD_MEANING_SELECT,B0500001,咖啡,干扰项,,水,shuǐ,,TU-100001.png,,H000001,,,,,,,
HSK2,翻译理解,T04_WORD_MEANING_SELECT,B0500001,咖啡,解析,,"Coffee的中文是""咖啡""(kāfēi)",,"Coffee in Chinese is ""咖啡"" (kāfēi).",,A000014,H000001,,,,,,,
HSK2,听力理解,T03_LISTEN_SELECT_SENTENCE,B0300002,我爱跳舞,标题,,听音频，选择你听到的句子,,,,,H000001,,,,,,,
HSK2,听力理解,T03_LISTEN_SELECT_SENTENCE,B0300002,我爱跳舞,题干,H100004.mp3,,,,,,H000001,,,,,,,
HSK2,听力理解,T03_LISTEN_SELECT_SENTENCE,B0300002,我爱跳舞,正确选项,,我爱跳舞。,Wǒ ài tiàowǔ.,,,,H000001,,,,,,,
HSK2,听力理解,T03_LISTEN_SELECT_SENTENCE,B0300002,我爱跳舞,干扰项,,我爱唱歌。,Wǒ ài chànggē.,,,,H000001,,,,,,,
HSK2,听力理解,T03_LISTEN_SELECT_SENTENCE,B0300002,我爱跳舞,干扰项,,我爱游泳。,Wǒ ài yóuyǒng.,,,,H000001,,,,,,,
HSK2,听力理解,T03_LISTEN_SELECT_SENTENCE,B0300002,我爱跳舞,干扰项,,我爱跑步。,Wǒ ài pǎobù.,,,,H000001,,,,,,,
HSK2,听力理解,T03_LISTEN_SELECT_SENTENCE,B0300002,我爱跳舞,解析,,"音频说""我爱跳舞，但跳得不太好""，核心信息是""我爱跳舞""。",,"The audio says ""我爱跳舞，但跳得不太好"". The key information is ""我爱跳舞"".",,A000015,H000001,,,,,,,
HSK2,翻译理解,T05_GRAMMAR_SELECT,B0600002,你想喝茶还是咖啡,标题,,"
选择正确的中文翻译",,,,,H000001,,,,,,,
HSK2,翻译理解,T05_GRAMMAR_SELECT,B0600002,你想喝茶还是咖啡,题干,,,,Do you want to drink tea or coffee?,,A000016,H000001,,,,,,,
HSK2,翻译理解,T05_GRAMMAR_SELECT,B0600002,你想喝茶还是咖啡,正确选项,,你想喝茶还是咖啡？,Nǐ xiǎng hē chá háishi kāfēi?,,,,H000001,,,,,,,
HSK2,翻译理解,T05_GRAMMAR_SELECT,B0600002,你想喝茶还是咖啡,干扰项,,你想吃什么？,Nǐ xiǎng chī shénme?,,,,H000001,,,,,,,
HSK2,翻译理解,T05_GRAMMAR_SELECT,B0600002,你想喝茶还是咖啡,干扰项,,你要喝水吗？,Nǐ yào hē shuǐ ma?,,,,H000001,,,,,,,
HSK2,翻译理解,T05_GRAMMAR_SELECT,B0600002,你想喝茶还是咖啡,干扰项,,你喜欢喝茶吗？,Nǐ xǐhuan hē chá ma?,,,,H000001,,,,,,,
HSK2,翻译理解,T05_GRAMMAR_SELECT,B0600002,你想喝茶还是咖啡,解析,,"Do you want tea or coffee?用中文表达是""你想喝茶还是咖啡？""，还是(háishi)表示选择。",,"""Do you want tea or coffee?"" in Chinese is ""你想喝茶还是咖啡？"" 还是 (háishi) indicates a choice.",,A000017,H000001,,,,,,,
HSK3,听力理解,T00_LISTEN_SELECT_IMAGE,B0400003,检查,标题,,听音频，选择正确图片,,,,,H000001,,,,,,,
HSK3,听力理解,T00_LISTEN_SELECT_IMAGE,B0400003,检查,题干,H100005.mp3,,,,,,H000001,,,,,,,
HSK3,听力理解,T00_LISTEN_SELECT_IMAGE,B0400003,检查,正确选项,,,,,TU-100014.png,,H000001,,,,,,,
HSK3,听力理解,T00_LISTEN_SELECT_IMAGE,B0400003,检查,干扰项,,,,,TU-100016.png,,H000001,,,,,,,
HSK3,听力理解,T00_LISTEN_SELECT_IMAGE,B0400003,检查,干扰项,,,,,TU-100015.png,,H000001,,,,,,,
HSK3,听力理解,T00_LISTEN_SELECT_IMAGE,B0400003,检查,干扰项,,,,,TU-100013.png,,H000001,,,,,,,
HSK3,听力理解,T00_LISTEN_SELECT_IMAGE,B0400003,检查,解析,,"音频播放""检查""(jiǎnchá)，表示""check/examine""。",,"The audio says ""检查"" (jiǎnchá), meaning ""check/examine"".",,A000018,H000001,,,,,,,
HSK3,识图理解,T01_PICTURE_FILL_IN,B0100003,兴趣,标题,,看图片，选择正确汉字,,,,,H000001,,,,,,,
HSK3,识图理解,T01_PICTURE_FILL_IN,B0100003,兴趣,题干,,,,,TU-100007.png,,H000001,,,,,,,
